shape,class,index,total_bytes,auth_bytes,other_bytes
transfer,withdraw,171,2170962,359397,1811565
transfer,deposit,172,2173906,362341,1811565
transfer,pay2,173,2177874,366309,1811565
transfer,pay1,174,2173010,361445,1811565
transfer,withdraw,175,2178354,366789,1811565
transfer,deposit,176,2177938,366373,1811565
transfer,pay2,177,2176306,364741,1811565
transfer,pay1,178,2185682,374117,1811565
transfer,withdraw,179,2179986,368421,1811565
transfer,deposit,180,2177362,365797,1811565
transfer,pay2,181,2172178,360613,1811565
transfer,pay1,182,2181330,369765,1811565
transfer,withdraw,183,2172178,360613,1811565
transfer,deposit,184,2181874,370309,1811565
transfer,pay2,185,2178898,367333,1811565
transfer,pay1,186,2188786,377221,1811565
transfer,withdraw,187,2183698,372133,1811565
transfer,deposit,188,2180850,369285,1811565
transfer,pay2,189,2181138,369573,1811565
transfer,pay1,190,2174866,363301,1811565
transfer,withdraw,191,2174514,362949,1811565
transfer,deposit,192,2176274,364709,1811565
transfer,pay2,193,2174258,362693,1811565
transfer,pay1,194,2185106,373541,1811565
transfer,withdraw,195,2182322,370757,1811565
transfer,deposit,196,2166482,354917,1811565
transfer,pay2,197,2178226,366661,1811565
transfer,pay1,198,2181010,369445,1811565
transfer,withdraw,199,2179986,368421,1811565
vault,lock,0,2685808,326186,2359622
vault,claim,1,2696176,336554,2359622
vault,lock,2,2687568,327946,2359622
vault,claim,3,2688592,328970,2359622
vault,lock,4,2685584,325962,2359622
vault,claim,5,2686960,327338,2359622
vault,lock,6,2690128,330506,2359622
vault,claim,7,2692752,333130,2359622
vault,lock,8,2685008,325386,2359622
vault,claim,9,2691632,332010,2359622
vault,lock,10,2684240,324618,2359622
vault,claim,11,2680912,321290,2359622
vault,lock,12,2689776,330154,2359622
vault,claim,13,2693232,333610,2359622
vault,lock,14,2689872,330250,2359622
vault,claim,15,2688752,329130,2359622
vault,lock,16,2675888,316266,2359622
vault,claim,17,2680784,321162,2359622
vault,lock,18,2695600,335978,2359622
vault,claim,19,2682352,322730,2359622
vault,lock,20,2685712,326090,2359622
vault,claim,21,2688272,328650,2359622
vault,lock,22,2684688,325066,2359622
vault,claim,23,2688656,329034,2359622
vault,lock,24,2694384,334762,2359622
vault,claim,25,2690640,331018,2359622
vault,lock,26,2689520,329898,2359622
vault,claim,27,2693104,333482,2359622
vault,lock,28,2692976,333354,2359622
vault,claim,29,2690768,331146,2359622
vault,lock,30,2689744,330122,2359622
vault,claim,31,2685392,325770,2359622
vault,lock,32,2694000,334378,2359622
vault,claim,33,2690416,330794,2359622
vault,lock,34,2692656,333034,2359622
vault,claim,35,2693456,333834,2359622
vault,lock,36,2686736,327114,2359622
vault,claim,37,2690768,331146,2359622
vault,lock,38,2687856,328234,2359622
vault,claim,39,2689360,329738,2359622
vault,lock,40,2685328,325706,2359622
vault,claim,41,2691632,332010,2359622
vault,lock,42,2686032,326410,2359622
vault,claim,43,2684752,325130,2359622
vault,lock,44,2682576,322954,2359622
vault,claim,45,2689008,329386,2359622
vault,lock,46,2688784,329162,2359622
vault,claim,47,2691696,332074,2359622
vault,lock,48,2685296,325674,2359622
vault,claim,49,2688720,329098,2359622
vault,lock,50,2687792,328170,2359622
vault,claim,51,2688208,328586,2359622
vault,lock,52,2685232,325610,2359622
vault,claim,53,2683472,323850,2359622
vault,lock,54,2691120,331498,2359622
vault,claim,55,2688176,328554,2359622
vault,lock,56,2688592,328970,2359622
vault,claim,57,2688080,328458,2359622
vault,lock,58,2687536,327914,2359622
vault,claim,59,2692080,332458,2359622
# shape transfer
# shape vault
