shape,class,index,total_bytes,auth_bytes,other_bytes
transfer,deposit,0,2180626,369061,1811565
transfer,pay2,1,2178994,367429,1811565
transfer,pay1,2,2174194,362629,1811565
transfer,withdraw,3,2178194,366629,1811565
transfer,deposit,4,2185298,373733,1811565
transfer,pay2,5,2183218,371653,1811565
transfer,pay1,6,2179442,367877,1811565
transfer,withdraw,7,2179730,368165,1811565
transfer,deposit,8,2183122,371557,1811565
transfer,pay2,9,2172498,360933,1811565
transfer,pay1,10,2175666,364101,1811565
transfer,withdraw,11,2178034,366469,1811565
transfer,deposit,12,2172146,360581,1811565
transfer,pay2,13,2185426,373861,1811565
transfer,pay1,14,2187986,376421,1811565
transfer,withdraw,15,2180466,368901,1811565
transfer,deposit,16,2175570,364005,1811565
transfer,pay2,17,2181906,370341,1811565
transfer,pay1,18,2179954,368389,1811565
transfer,withdraw,19,2182354,370789,1811565
transfer,deposit,20,2178834,367269,1811565
transfer,pay2,21,2183986,372421,1811565
transfer,pay1,22,2179986,368421,1811565
transfer,withdraw,23,2184338,372773,1811565
transfer,deposit,24,2182546,370981,1811565
transfer,pay2,25,2182930,371365,1811565
transfer,pay1,26,2178514,366949,1811565
transfer,withdraw,27,2177906,366341,1811565
transfer,deposit,28,2181970,370405,1811565
transfer,pay2,29,2179890,368325,1811565
transfer,pay1,30,2172402,360837,1811565
transfer,withdraw,31,2175410,363845,1811565
transfer,deposit,32,2186258,374693,1811565
transfer,pay2,33,2171058,359493,1811565
transfer,pay1,34,2175666,364101,1811565
transfer,withdraw,35,2169010,357445,1811565
transfer,deposit,36,2176818,365253,1811565
transfer,pay2,37,2176178,364613,1811565
transfer,pay1,38,2176722,365157,1811565
transfer,withdraw,39,2182834,371269,1811565
transfer,deposit,40,2175346,363781,1811565
transfer,pay2,41,2172210,360645,1811565
transfer,pay1,42,2181170,369605,1811565
transfer,withdraw,43,2173106,361541,1811565
transfer,deposit,44,2177522,365957,1811565
transfer,pay2,45,2173746,362181,1811565
transfer,pay1,46,2186418,374853,1811565
transfer,withdraw,47,2175826,364261,1811565
transfer,deposit,48,2177426,365861,1811565
transfer,pay2,49,2182322,370757,1811565
transfer,pay1,50,2170674,359109,1811565
transfer,withdraw,51,2179026,367461,1811565
transfer,deposit,52,2178642,367077,1811565
transfer,pay2,53,2182066,370501,1811565
transfer,pay1,54,2180722,369157,1811565
transfer,withdraw,55,2183666,372101,1811565
transfer,deposit,56,2180882,369317,1811565
transfer,pay2,57,2172146,360581,1811565
transfer,pay1,58,2170642,359077,1811565
transfer,withdraw,59,2173362,361797,1811565
transfer,deposit,60,2180082,368517,1811565
transfer,pay2,61,2183890,372325,1811565
transfer,pay1,62,2188466,376901,1811565
transfer,withdraw,63,2184594,373029,1811565
transfer,deposit,64,2179570,368005,1811565
transfer,pay2,65,2177938,366373,1811565
transfer,pay1,66,2180882,369317,1811565
transfer,withdraw,67,2172882,361317,1811565
transfer,deposit,68,2175634,364069,1811565
transfer,pay2,69,2180946,369381,1811565
transfer,pay1,70,2172466,360901,1811565
transfer,withdraw,71,2186898,375333,1811565
transfer,deposit,72,2177650,366085,1811565
transfer,pay2,73,2174930,363365,1811565
transfer,pay1,74,2172274,360709,1811565
transfer,withdraw,75,2182770,371205,1811565
transfer,deposit,76,2179570,368005,1811565
transfer,pay2,77,2182770,371205,1811565
transfer,pay1,78,2179186,367621,1811565
transfer,withdraw,79,2179410,367845,1811565
transfer,deposit,80,2174898,363333,1811565
transfer,pay2,81,2167250,355685,1811565
transfer,pay1,82,2179858,368293,1811565
transfer,withdraw,83,2179506,367941,1811565
transfer,deposit,84,2183314,371749,1811565
transfer,pay2,85,2173426,361861,1811565
transfer,pay1,86,2178162,366597,1811565
transfer,withdraw,87,2186034,374469,1811565
transfer,deposit,88,2179442,367877,1811565
transfer,pay2,89,2178162,366597,1811565
transfer,pay1,90,2174578,363013,1811565
transfer,withdraw,91,2182930,371365,1811565
transfer,deposit,92,2174962,363397,1811565
transfer,pay2,93,2184210,372645,1811565
transfer,pay1,94,2173906,362341,1811565
transfer,withdraw,95,2178898,367333,1811565
transfer,deposit,96,2177010,365445,1811565
transfer,pay2,97,2181298,369733,1811565
transfer,pay1,98,2180594,369029,1811565
transfer,withdraw,99,2180082,368517,1811565
transfer,deposit,100,2170418,358853,1811565
transfer,pay2,101,2182674,371109,1811565
transfer,pay1,102,2177010,365445,1811565
transfer,withdraw,103,2182962,371397,1811565
transfer,deposit,104,2181330,369765,1811565
transfer,pay2,105,2175186,363621,1811565
transfer,pay1,106,2171570,360005,1811565
transfer,withdraw,107,2182162,370597,1811565
transfer,deposit,108,2174130,362565,1811565
transfer,pay2,109,2178706,367141,1811565
transfer,pay1,110,2177170,365605,1811565
transfer,withdraw,111,2182386,370821,1811565
transfer,deposit,112,2176466,364901,1811565
transfer,pay2,113,2179634,368069,1811565
transfer,pay1,114,2180722,369157,1811565
transfer,withdraw,115,2179986,368421,1811565
transfer,deposit,116,2183922,372357,1811565
transfer,pay2,117,2178066,366501,1811565
transfer,pay1,118,2176050,364485,1811565
transfer,withdraw,119,2178130,366565,1811565
transfer,deposit,120,2180658,369093,1811565
transfer,pay2,121,2185778,374213,1811565
transfer,pay1,122,2179634,368069,1811565
transfer,withdraw,123,2181714,370149,1811565
transfer,deposit,124,2184018,372453,1811565
transfer,pay2,125,2176882,365317,1811565
transfer,pay1,126,2179058,367493,1811565
transfer,withdraw,127,2182130,370565,1811565
transfer,deposit,128,2187122,375557,1811565
transfer,pay2,129,2180050,368485,1811565
transfer,pay1,130,2177746,366181,1811565
transfer,withdraw,131,2178610,367045,1811565
transfer,deposit,132,2177010,365445,1811565
transfer,pay2,133,2176754,365189,1811565
transfer,pay1,134,2184658,373093,1811565
transfer,withdraw,135,2178514,366949,1811565
transfer,deposit,136,2179922,368357,1811565
transfer,pay2,137,2174482,362917,1811565
transfer,pay1,138,2173618,362053,1811565
transfer,withdraw,139,2181266,369701,1811565
transfer,deposit,140,2179378,367813,1811565
transfer,pay2,141,2184658,373093,1811565
transfer,pay1,142,2176274,364709,1811565
transfer,withdraw,143,2184658,373093,1811565
transfer,deposit,144,2186290,374725,1811565
transfer,pay2,145,2177554,365989,1811565
transfer,pay1,146,2180210,368645,1811565
transfer,withdraw,147,2167410,355845,1811565
transfer,deposit,148,2180658,369093,1811565
transfer,pay2,149,2174034,362469,1811565
transfer,pay1,150,2172082,360517,1811565
transfer,withdraw,151,2182738,371173,1811565
transfer,deposit,152,2176882,365317,1811565
transfer,pay2,153,2180754,369189,1811565
transfer,pay1,154,2183698,372133,1811565
transfer,withdraw,155,2173810,362245,1811565
transfer,deposit,156,2175890,364325,1811565
transfer,pay2,157,2182994,371429,1811565
transfer,pay1,158,2176530,364965,1811565
transfer,withdraw,159,2181490,369925,1811565
transfer,deposit,160,2176946,365381,1811565
transfer,pay2,161,2178770,367205,1811565
transfer,pay1,162,2178834,367269,1811565
transfer,withdraw,163,2182066,370501,1811565
transfer,deposit,164,2182930,371365,1811565
transfer,pay2,165,2183378,371813,1811565
transfer,pay1,166,2180402,368837,1811565
transfer,withdraw,167,2178290,366725,1811565
transfer,deposit,168,2183762,372197,1811565
transfer,pay2,169,2178450,366885,1811565
transfer,pay1,170,2177682,366117,1811565
